"index";"labourearnings";"age";"gender";"education";"maritalstatus";"lifesatisfaction"
106;0;17;2;1;2;NA
107;0;35;1;NA;2;5
108;0;66;1;3;1;7
109;0;22;2;1;1;4
110;NA;43;1;NA;NA;NA
111;NA;75;1;3;1;8
112;NA;41;2;2;1;6
113;0;20;2;NA;NA;NA
114;0;3;1;NA;NA;NA
115;NA;20;1;NA;NA;NA
116;78400;53;2;3;2;9
117;34980;29;2;3;2;8
118;NA;53;2;2;4;8
119;25300;27;1;1;2;8
120;45000;50;1;2;1;7
121;0;5;1;NA;NA;NA
122;40400;41;1;3;2;6
123;22800;53;1;2;1;9
124;0;77;1;3;4;6
125;0;72;2;1;3;7
126;14400;58;2;3;1;5
127;19200;28;2;3;2;5
128;NA;46;2;NA;NA;NA
129;NA;31;1;NA;NA;NA
130;NA;57;2;3;1;10
131;0;71;1;2;3;8
132;0;42;1;2;2;5
133;0;0;2;NA;NA;NA
134;0;29;1;NA;NA;NA
135;0;4;1;NA;NA;NA
136;0;41;1;NA;1;7
137;NA;27;1;3;2;6
138;0;23;2;1;2;6
139;0;13;1;NA;NA;NA
140;0;13;2;NA;NA;NA
141;7500;30;1;3;1;9
142;0;13;1;NA;NA;NA
143;0;69;2;3;1;8
144;0;12;2;NA;NA;NA
145;0;14;2;NA;NA;NA
146;0;16;2;NA;NA;NA
147;NA;42;1;3;2;10
148;0;7;1;NA;NA;NA
149;0;17;2;NA;2;NA
150;0;2;1;NA;NA;NA
151;NA;45;1;NA;NA;NA
152;0;2;1;NA;NA;NA
153;0;39;2;3;2;4
154;51600;50;1;2;1;7
155;NA;58;1;NA;NA;NA
156;0;16;1;NA;NA;NA
157;0;16;2;NA;NA;NA
158;28100;41;2;2;2;7
159;36500;54;2;2;1;7
160;0;16;1;NA;NA;NA
161;0;5;2;NA;NA;NA
162;0;77;2;2;1;5
163;0;20;2;1;2;5
164;0;83;2;1;1;7
165;5400;40;2;1;3;9
166;0;1;1;NA;NA;NA
167;10800;38;2;3;1;8
168;0;3;1;NA;NA;NA
169;NA;32;2;NA;NA;NA
170;73332;31;1;3;1;8
171;NA;78;2;3;1;8
172;78000;50;2;3;1;9
173;29400;30;2;2;1;10
174;34505;55;2;2;4;10
175;27600;53;1;1;3;8
176;0;9;1;NA;NA;NA
177;77000;55;1;2;1;9
178;0;15;1;NA;NA;NA
179;0;80;1;2;1;6
180;0;15;2;NA;NA;NA
181;NA;19;2;2;2;9
182;18400;60;2;2;3;9
183;50604;62;2;3;1;10
184;800;20;1;NA;2;7
185;0;35;1;1;1;10
186;NA;58;2;NA;NA;NA
187;0;10;1;NA;NA;NA
188;84000;53;1;2;1;9
189;0;2;1;NA;NA;NA
190;0;0;2;NA;NA;NA
191;0;6;1;NA;NA;NA
192;22100;27;2;2;2;4
193;15600;36;1;2;2;7
194;0;75;1;3;1;5
195;126000;59;1;3;1;8
196;19000;36;2;3;2;6
197;0;13;2;NA;NA;NA
198;NA;35;2;2;1;8
199;0;14;2;NA;NA;NA
200;0;65;2;2;3;5
201;0;68;2;2;3;8
202;0;72;1;2;1;7
203;0;20;1;2;2;8
204;0;11;1;NA;NA;NA
205;67200;28;1;2;2;7
206;0;15;1;NA;NA;NA
207;NA;31;2;NA;1;7
208;0;18;2;NA;NA;NA
209;0;35;2;1;1;6
210;0;74;2;2;1;6
211;0;4;1;NA;NA;NA
212;0;25;1;1;2;6
213;0;68;1;3;1;9
214;NA;20;2;NA;NA;NA
215;0;1;1;NA;NA;NA
216;0;3;1;NA;NA;NA
217;25720;51;2;2;1;NA
218;24500;39;2;2;2;6
219;NA;32;1;NA;NA;NA
220;34658;62;2;2;1;7
221;0;12;2;NA;NA;NA
222;27600;62;1;3;1;9
223;NA;26;1;NA;NA;NA
224;63800;31;1;2;1;8
225;38100;43;2;3;1;9
226;16800;41;2;2;1;8
227;32760;43;1;2;1;7
228;0;19;2;1;2;5
229;0;54;1;NA;NA;NA
230;0;6;2;NA;NA;NA
231;0;2;2;NA;NA;NA
232;0;16;2;NA;NA;NA
233;42620;47;1;2;1;8
234;0;71;2;2;1;8
235;0;5;2;NA;NA;NA
236;17100;43;2;2;1;8
237;30750;34;1;2;1;3
238;0;35;2;3;1;8
239;120000;55;1;3;4;7
240;0;56;2;NA;NA;NA
241;NA;65;1;2;1;9
242;NA;65;1;2;1;8
243;110654;58;1;2;1;8
244;4500;35;2;3;1;9
245;0;30;2;NA;NA;NA
246;66000;55;1;3;1;8
247;28800;32;1;2;2;8
248;8050;50;2;2;1;8
249;0;62;1;1;1;8
250;0;14;1;NA;NA;NA
251;6250;25;1;3;2;8
252;0;42;2;NA;NA;NA
253;NA;38;1;NA;NA;NA
254;0;11;1;NA;NA;NA
255;1200;33;2;1;1;9
256;54000;49;2;3;1;7
257;0;9;2;NA;NA;NA
258;NA;49;2;2;4;7
259;7700;23;1;1;2;6
260;NA;30;2;NA;NA;NA
261;51500;35;1;3;1;7
262;0;2;2;NA;NA;NA
263;0;12;2;NA;NA;NA
264;NA;25;2;3;1;8
265;62500;47;1;3;1;8
266;29400;67;1;3;1;10
267;NA;42;1;1;1;7
268;NA;76;1;2;1;7
269;0;76;1;2;1;8
270;NA;22;1;NA;NA;NA
271;0;81;1;3;4;9
272;0;27;2;NA;NA;NA
273;0;43;1;1;1;6
274;0;77;2;1;1;8
275;26400;47;1;2;1;8
276;0;62;1;NA;NA;NA
277;0;NA;1;NA;NA;NA
278;0;42;1;1;1;7
279;38378;33;1;2;1;9
280;NA;65;1;3;1;9
281;31270;55;1;2;1;9
282;0;10;2;NA;NA;NA
283;0;15;1;NA;NA;NA
284;0;6;1;NA;NA;NA
285;NA;22;2;3;2;7
286;0;7;1;NA;NA;NA
287;NA;44;2;NA;NA;NA
288;2000;86;1;3;1;10
289;1000;21;1;NA;2;8
290;64800;53;2;3;4;9
291;26400;59;1;2;4;6
292;0;72;2;3;1;6
293;5400;67;2;2;NA;8
294;0;3;1;NA;NA;NA
295;12000;65;2;2;3;8
296;42700;53;2;2;1;5
297;NA;37;1;1;1;9
298;0;14;2;NA;NA;NA
299;0;3;1;NA;NA;NA
300;NA;33;2;3;1;9
301;4050;27;2;NA;1;8
302;0;80;2;3;1;6
303;33600;76;1;2;4;8
304;15600;45;2;2;1;7
305;NA;10;1;NA;NA;NA
306;18960;45;2;2;1;7
307;0;20;1;NA;NA;NA
308;NA;71;1;3;1;8
309;NA;54;1;1;1;5
310;NA;60;2;NA;NA;NA
311;NA;31;1;NA;NA;NA
312;41000;51;1;2;1;9
313;0;4;2;NA;NA;NA
314;0;39;2;NA;NA;NA
315;0;76;2;3;3;9
316;36000;62;2;2;1;8
317;NA;37;1;NA;NA;NA
318;0;27;1;NA;NA;NA
319;0;3;1;NA;NA;NA
320;0;9;2;NA;NA;NA
321;17500;50;2;2;1;8
322;39000;35;1;2;1;9
323;0;4;1;NA;NA;NA
324;5000;45;2;2;1;8
325;17600;45;1;1;1;8
326;27600;27;2;3;2;9
327;0;0;1;NA;NA;NA
328;0;6;1;NA;NA;NA
329;0;14;1;NA;NA;NA
330;NA;54;1;NA;NA;NA
331;0;43;1;1;1;5
332;0;36;2;1;1;7
333;0;11;2;NA;NA;NA
334;30000;66;1;2;1;8
335;0;6;1;NA;NA;NA
336;NA;52;1;NA;NA;NA
337;NA;19;2;NA;2;10
338;60850;37;2;3;2;8
339;39600;55;1;3;2;8
340;0;9;2;NA;NA;NA
341;23400;58;1;2;2;6
342;0;4;1;NA;NA;NA
343;0;69;2;NA;NA;NA
344;0;49;1;1;1;8
345;0;58;2;1;1;7
346;0;17;1;1;2;NA
347;0;53;2;NA;NA;NA
348;0;19;1;NA;NA;NA
349;0;19;1;NA;NA;NA
350;0;25;2;2;2;4
351;42000;56;2;2;4;8
352;0;75;2;2;1;9
353;24000;62;1;3;1;8
354;0;11;2;NA;NA;NA
355;10500;51;1;2;1;8
356;0;13;1;NA;NA;NA
357;0;1;2;NA;NA;NA
358;0;9;1;NA;NA;NA
359;NA;59;2;3;1;9
360;0;46;2;NA;NA;NA
361;9000;24;1;1;2;7
362;0;69;1;NA;NA;NA
363;58500;36;1;2;2;6
364;0;14;1;NA;NA;NA
365;26500;52;2;3;1;9
366;0;38;1;3;1;4
367;44100;30;1;3;2;5
368;0;14;2;NA;NA;NA
369;83000;61;1;3;2;8
370;0;12;2;NA;NA;NA
371;0;45;2;NA;NA;NA
372;93365;63;1;2;1;9
373;0;9;2;NA;NA;NA
374;0;24;2;2;2;3
375;0;76;1;3;3;6
376;0;31;1;2;2;6
377;67600;34;1;2;1;8
378;0;26;1;3;2;7
379;0;1;1;NA;NA;NA
380;0;46;2;2;2;6
381;0;74;2;2;NA;6
382;0;84;2;2;3;7
383;0;4;1;NA;NA;NA
384;0;80;2;3;1;3
385;0;6;1;NA;NA;NA
386;NA;25;1;NA;NA;NA
387;0;50;2;1;4;6
388;105000;70;1;2;1;8
389;0;2;2;NA;NA;NA
390;0;4;1;NA;NA;NA
391;55500;43;2;3;1;8
392;0;36;2;1;1;8
393;27120;54;2;2;2;8
394;5400;21;1;2;2;7
395;56171;53;2;2;1;9
396;0;4;1;NA;NA;NA
397;30600;49;1;2;1;8
398;0;1;2;NA;NA;NA
399;0;2;2;NA;NA;NA
400;52240;55;1;2;1;7
401;15600;26;1;1;1;10
402;NA;23;2;NA;NA;NA
403;0;15;1;NA;NA;NA
404;0;77;1;3;2;7
405;72000;52;1;2;1;8
406;0;14;2;NA;NA;NA
407;7656;44;2;2;2;8
408;0;41;2;NA;NA;NA
409;34083;29;2;2;1;10
410;27840;51;1;1;1;9
411;0;7;1;NA;NA;NA
412;0;78;2;1;1;6
413;33000;43;2;2;2;10
414;61200;37;1;2;1;8
415;49700;56;1;1;5;8
416;NA;49;2;NA;NA;NA
417;0;72;2;3;4;8
418;NA;20;1;NA;NA;NA
419;0;23;1;1;1;8
420;0;11;2;NA;NA;NA
421;0;6;1;NA;NA;NA
422;0;3;1;NA;NA;NA
423;0;40;1;1;1;7
424;0;42;2;1;1;8
425;0;21;2;NA;NA;NA
426;0;62;2;2;4;9
427;0;4;1;NA;NA;NA
428;43200;44;1;3;4;7
429;0;86;1;2;1;6
430;NA;54;2;2;1;10
431;NA;44;2;1;2;5
432;4500;20;2;NA;2;8
433;64264;52;1;3;5;10
434;0;65;2;2;2;6
435;20400;37;2;2;1;8
436;25036;40;2;2;1;8
437;0;64;1;2;1;8
438;NA;24;1;NA;NA;NA
439;31200;49;2;2;2;10
440;79920;54;1;2;1;NA
441;42000;53;1;3;1;7
442;NA;39;1;NA;NA;NA
443;NA;40;1;1;1;6
444;0;25;2;NA;1;4
445;30000;44;1;2;1;8
446;30000;45;2;1;1;10
447;0;3;2;NA;NA;NA
448;0;14;1;NA;NA;NA
449;NA;25;1;NA;NA;NA
450;0;35;1;1;2;8
451;46598;52;2;2;1;8
452;171000;56;1;3;1;8
453;38900;29;2;3;2;8
454;1536;26;1;NA;2;8
455;90000;60;2;2;1;8
456;0;60;2;2;1;7
457;NA;49;1;2;1;8
458;0;3;2;NA;NA;NA
459;NA;22;2;NA;NA;NA
460;NA;54;2;2;2;7
461;168000;57;2;3;1;8
462;0;15;1;NA;NA;NA
463;137200;55;1;2;1;8
464;NA;65;2;2;1;8
465;0;46;2;NA;5;7
466;28100;36;2;3;2;8
467;30000;42;2;2;1;9
468;0;32;1;NA;NA;NA
469;0;13;2;NA;NA;NA
470;46800;63;2;2;1;8
471;5200;56;2;3;1;6
472;0;10;2;NA;NA;NA
473;0;19;1;NA;2;7
474;NA;20;1;NA;NA;NA
475;9600;71;1;3;1;8
476;46600;53;2;3;1;6
477;0;24;2;NA;NA;NA
478;NA;54;2;3;4;7
479;0;64;2;1;4;8
480;11350;38;2;3;1;8
481;0;16;1;NA;NA;NA
482;0;6;2;NA;NA;NA
483;0;8;1;NA;NA;NA
484;0;7;1;NA;NA;NA
485;0;85;1;3;1;8
486;0;12;1;NA;NA;NA
487;4800;30;2;1;1;7
488;0;16;2;NA;NA;NA
489;38700;57;1;2;1;7
490;0;66;1;2;4;6
491;29400;47;2;2;1;8
492;800;28;1;3;2;8
493;0;9;2;NA;NA;NA
494;NA;34;1;NA;NA;NA
495;0;80;2;2;1;5
496;0;3;2;NA;NA;NA
497;0;45;2;3;4;7
498;NA;10;2;NA;NA;NA
499;40100;45;1;2;1;6
500;26400;51;2;2;1;8
501;5400;62;1;1;5;5
502;6560;50;2;2;5;8
503;0;8;2;NA;NA;NA
504;55200;56;1;3;1;9
505;27150;59;2;2;2;8
506;NA;18;2;NA;NA;NA
507;28392;41;2;3;1;10
508;0;75;2;2;3;9
509;0;83;2;2;3;9
510;0;23;1;NA;NA;NA
511;NA;35;1;NA;NA;NA
512;NA;34;2;NA;NA;NA
513;0;36;2;3;1;8
514;NA;64;1;3;5;3
515;1860;61;1;2;5;5
516;NA;18;2;NA;2;10
517;101750;52;1;3;5;6
518;0;82;1;3;3;7
519;NA;46;1;NA;NA;NA
520;0;15;2;NA;NA;NA
521;2800;24;2;3;2;8
522;0;34;2;2;1;7
523;43400;51;2;2;4;7
524;0;8;1;NA;NA;NA
525;0;91;2;1;1;8
526;NA;67;2;2;1;9
527;0;8;1;NA;NA;NA
528;5200;44;2;2;5;7
529;0;2;1;NA;NA;NA
530;0;68;2;2;1;10
531;NA;49;2;2;1;8
532;18000;29;1;2;2;8
533;0;12;1;NA;NA;NA
534;0;71;1;3;4;4
535;0;2;2;NA;NA;NA
536;89600;42;2;3;1;7
537;NA;51;2;2;1;9
538;0;14;2;NA;NA;NA
539;NA;22;1;NA;NA;NA
540;0;42;2;3;5;9
541;121680;47;1;2;1;10
542;0;33;1;NA;1;9
543;24000;25;1;2;2;8
544;0;17;1;NA;NA;NA
545;0;14;2;NA;NA;NA
546;NA;56;1;NA;NA;NA
547;0;33;2;1;1;9
548;0;15;2;NA;NA;NA
549;0;9;1;NA;NA;NA
550;0;75;2;1;3;5
551;0;5;1;NA;NA;NA
552;18000;54;2;2;3;8
553;NA;41;1;2;2;NA
554;0;36;1;1;1;8
555;0;48;2;3;1;8
556;0;19;2;1;2;10
557;0;5;1;NA;NA;NA
558;0;12;2;NA;NA;NA
559;0;9;1;NA;NA;NA
560;0;13;2;NA;NA;NA
561;NA;57;2;3;5;7
562;26200;24;2;3;2;8
563;0;17;1;NA;NA;NA
564;0;2;2;NA;NA;NA
565;47650;50;2;2;5;8
566;0;12;2;NA;NA;NA
567;0;8;1;NA;NA;NA
568;NA;36;2;2;4;9
569;10200;27;1;1;5;8
570;0;20;2;2;2;7
571;0;46;2;NA;NA;NA
572;30700;32;1;2;2;6
573;17600;41;2;2;1;8
574;42800;35;1;3;1;8
575;0;17;1;1;2;NA
576;0;71;1;2;2;5
577;0;83;2;1;3;9
578;0;8;1;NA;NA;NA
579;0;64;1;3;3;6
580;0;8;1;NA;NA;NA
581;0;58;2;NA;1;5
582;0;8;1;NA;NA;NA
583;0;6;1;NA;NA;NA
584;5000;23;1;2;2;7
585;101996;43;1;2;1;9
586;0;88;2;1;3;10
587;45600;34;1;3;2;8
588;NA;44;1;NA;NA;NA
589;NA;23;2;NA;NA;NA
590;0;6;2;NA;NA;NA
591;1980;63;2;2;3;8
592;0;35;2;1;1;8
593;0;73;1;3;1;7
594;45600;62;1;3;1;8
595;38000;51;1;2;1;8
596;0;14;1;NA;NA;NA
597;0;76;1;2;1;8
598;0;12;1;NA;NA;NA
599;0;60;1;3;5;8
600;39930;35;1;2;1;6
601;0;64;2;2;5;7
602;0;9;1;NA;NA;NA
603;0;61;1;NA;NA;NA
604;169200;50;1;3;1;9
605;0;18;1;NA;NA;NA
606;8400;62;2;3;1;9
607;0;88;1;2;3;7
608;5440;55;2;2;4;8
609;60000;79;1;3;1;10
610;3000;54;2;2;3;8
611;0;19;2;1;2;4
612;42550;64;1;2;1;3
613;NA;33;2;3;1;9
614;20850;36;1;2;2;8
615;0;21;2;NA;NA;NA
616;0;15;1;NA;NA;NA
617;NA;24;1;NA;NA;NA
618;0;19;1;NA;NA;NA
619;NA;62;2;2;3;7
620;10500;50;2;2;1;8
621;NA;49;2;1;1;0
622;30440;59;2;2;4;8
623;0;14;1;NA;NA;NA
624;0;40;2;NA;1;8
625;23400;45;2;1;1;5
626;46800;45;2;2;1;8
627;0;30;1;3;1;7
628;0;17;1;NA;2;NA
629;2400;32;2;1;1;8
630;0;44;1;NA;NA;NA
631;NA;59;2;3;1;5
632;0;31;2;3;1;8
633;0;7;1;NA;NA;NA
634;0;82;1;2;3;10
635;NA;29;1;1;5;10
636;0;37;2;1;5;9
637;55350;60;1;2;1;7
638;0;11;2;NA;NA;NA
639;45000;61;1;2;1;9
640;0;18;2;NA;NA;NA
641;0;22;1;1;2;5
642;11280;42;2;3;4;7
643;0;2;1;NA;NA;NA
644;0;7;1;NA;NA;NA
645;1600;60;2;1;4;4
646;0;11;1;NA;NA;NA
647;0;81;1;2;1;9
648;0;0;1;NA;NA;NA
649;0;66;1;2;2;5
650;7600;59;1;2;3;0
651;0;0;2;NA;NA;NA
652;33600;55;1;2;1;8
653;0;38;1;1;1;7
654;27600;27;1;3;1;10
655;34800;34;2;1;4;5
656;1440;73;1;2;3;8
657;34200;48;1;3;5;8
658;0;85;2;1;3;10
659;5450;55;2;2;1;6
660;150000;48;1;2;5;8
661;0;41;2;2;2;4
662;0;37;1;1;1;6
663;0;70;2;3;1;8
664;0;1;1;NA;NA;NA
665;NA;30;1;3;2;8
666;NA;59;1;2;2;9
667;19200;62;2;2;4;7
668;NA;63;1;2;1;9
669;0;6;1;NA;NA;NA
670;0;21;2;1;2;9
671;10925;21;1;2;2;9
672;0;15;1;NA;NA;NA
673;0;12;2;NA;NA;NA
674;0;13;2;NA;NA;NA
675;0;9;1;NA;NA;NA
676;0;50;1;1;1;9
677;0;38;2;1;1;9
678;NA;23;1;2;2;8
679;0;67;2;2;1;8
680;0;2;1;NA;NA;NA
681;0;17;1;NA;2;NA
682;4580;30;1;3;2;8
683;0;13;1;NA;NA;NA
684;NA;45;1;1;1;9
685;NA;53;2;NA;NA;NA
686;NA;50;1;3;1;8
687;0;5;1;NA;NA;NA
688;73400;42;1;2;1;8
689;0;22;1;NA;NA;NA
690;NA;43;2;NA;NA;NA
691;14040;52;2;2;NA;5
692;34800;57;2;2;1;10
693;6975;20;1;2;2;8
694;43400;53;1;2;1;6
695;NA;57;2;NA;NA;NA
696;8900;36;2;3;1;7
697;NA;60;1;NA;NA;NA
698;61200;49;1;2;1;9
699;NA;49;2;3;1;9
700;57850;65;2;3;4;9
701;NA;15;1;NA;NA;NA
702;25200;61;2;3;4;5
703;0;12;2;NA;NA;NA
704;0;9;2;NA;NA;NA
705;NA;58;2;NA;NA;NA
706;0;16;2;NA;NA;NA
707;0;8;2;NA;NA;NA
708;0;3;1;NA;NA;NA
709;NA;49;1;3;1;8
710;NA;20;1;NA;NA;NA
711;NA;31;2;3;1;7
712;18650;20;1;2;2;8
713;NA;NA;2;NA;NA;NA
714;0;13;2;NA;NA;NA
715;0;11;1;NA;NA;NA
716;114000;52;1;3;1;9
717;0;49;1;3;1;8
718;18370;53;2;2;1;7
719;0;74;2;1;3;8
720;22800;25;1;NA;2;8
721;36400;39;2;2;2;8
722;74400;42;1;3;1;8
723;0;19;1;NA;NA;NA
724;0;22;1;1;2;5
725;0;10;1;NA;NA;NA
726;0;15;2;NA;NA;NA
727;0;82;2;2;3;9
728;NA;22;1;NA;NA;NA
729;0;88;2;1;4;7
730;0;7;1;NA;NA;NA
731;41100;51;1;2;1;8
732;62018;64;1;3;1;10
733;0;78;2;3;1;10
734;0;59;1;1;1;7
735;NA;27;1;NA;NA;NA
736;12000;69;2;3;1;7
737;0;16;2;NA;NA;NA
738;NA;79;2;2;3;8
739;0;8;2;NA;NA;NA
740;NA;47;1;2;1;8
741;48000;53;2;3;1;9
742;0;2;2;NA;NA;NA
743;0;81;2;2;3;8
744;66000;36;1;3;1;8
745;0;11;2;NA;NA;NA
746;NA;21;2;NA;NA;NA
747;38725;60;2;3;1;8
748;0;7;1;NA;NA;NA
749;NA;50;2;3;1;7
750;180;56;1;2;2;7
751;0;75;2;2;1;5
752;5400;47;2;1;1;8
753;4730;19;1;NA;2;8
754;0;82;2;2;3;10
755;0;71;1;NA;1;9
756;0;39;1;1;1;9
757;0;5;1;NA;NA;NA
758;NA;33;1;NA;NA;NA
759;0;1;2;NA;NA;NA
760;33600;62;1;2;4;7
761;93000;55;1;3;1;7
762;0;9;1;NA;NA;NA
763;0;60;2;2;4;5
764;96000;54;1;3;2;8
765;0;11;2;NA;NA;NA
766;NA;47;1;NA;NA;NA
767;0;3;2;NA;NA;NA
768;0;17;2;NA;NA;NA
769;NA;NA;1;NA;NA;NA
770;NA;51;1;NA;NA;NA
771;NA;15;1;NA;NA;NA
772;0;51;1;1;1;8
773;0;34;1;NA;2;6
774;0;66;2;NA;NA;NA
775;29800;63;1;2;1;9
776;0;40;2;NA;NA;NA
777;0;5;1;NA;NA;NA
778;0;12;1;NA;NA;NA
779;0;50;2;1;4;7
780;0;7;1;NA;NA;NA
781;NA;63;1;NA;NA;NA
782;0;22;2;NA;NA;NA
783;5400;57;2;2;1;8
784;0;67;2;2;1;8
785;NA;21;1;NA;NA;NA
786;48000;45;1;2;1;7
787;0;14;2;NA;NA;NA
788;NA;35;2;NA;NA;NA
789;0;8;2;NA;NA;NA
790;NA;51;2;3;2;8
791;0;12;2;NA;NA;NA
792;0;7;1;NA;NA;NA
793;23034;55;2;2;1;8
794;NA;21;2;1;2;4
795;215000;52;1;3;1;8
796;0;2;1;NA;NA;NA
797;15000;54;2;1;1;8
798;NA;61;2;NA;NA;NA
799;65781;50;2;3;2;7
800;0;14;1;NA;NA;NA
801;0;17;2;NA;2;NA
802;0;10;2;NA;NA;NA
803;0;47;2;1;1;6
804;0;23;1;NA;NA;NA
805;13200;37;2;1;2;5
806;0;12;1;NA;NA;NA
807;NA;67;1;2;1;9
808;0;14;2;NA;NA;NA
809;0;70;1;NA;NA;NA
810;5400;43;1;3;1;8
811;NA;56;1;NA;NA;NA
812;0;8;1;NA;NA;NA
813;3600;61;2;2;4;5
814;0;16;1;NA;NA;NA
815;48000;42;2;2;2;8
816;1200;65;1;2;1;8
817;NA;43;2;2;2;6
818;0;14;1;NA;NA;NA
819;0;29;1;1;2;7
820;16800;24;1;1;2;8
821;0;38;2;NA;NA;NA
822;NA;62;2;NA;NA;NA
823;0;10;2;NA;NA;NA
824;0;29;2;1;1;10
825;116000;48;1;3;1;7
826;0;49;2;2;4;5
827;0;75;2;3;1;10
828;NA;48;1;2;1;4
829;8820;46;2;3;2;7
830;37092;59;2;2;1;8
831;0;29;2;NA;1;10
832;0;71;2;3;3;9
833;0;9;1;NA;NA;NA
834;0;12;2;NA;NA;NA
835;6240;24;1;1;2;8
836;0;66;2;NA;NA;NA
837;10800;39;2;2;1;8
838;0;81;1;NA;NA;NA
839;0;83;2;1;3;10
840;31575;47;2;2;3;5
841;0;17;1;NA;NA;NA
842;NA;41;2;2;2;5
843;0;3;1;NA;NA;NA
844;NA;54;1;2;2;7
845;0;5;2;NA;NA;NA
846;11550;29;2;3;2;8
847;0;12;2;NA;NA;NA
848;NA;47;2;3;1;3
849;0;2;2;NA;NA;NA
850;NA;11;2;NA;NA;NA
851;0;3;2;NA;NA;NA
852;0;5;2;NA;NA;NA
853;51400;60;1;2;4;8
854;81600;47;1;2;1;6
855;0;72;1;3;1;8
856;0;22;2;1;1;7
857;24600;52;1;2;1;5
858;NA;38;1;NA;NA;NA
859;0;11;1;NA;NA;NA
860;0;80;2;2;3;6
861;0;31;2;2;2;7
862;NA;38;1;2;2;9
863;NA;48;1;3;1;9
864;0;68;1;2;1;10
865;NA;57;1;NA;NA;NA
866;NA;44;2;NA;NA;NA
867;39300;56;2;NA;4;7
868;0;11;1;NA;NA;NA
869;NA;41;2;2;4;8
870;0;40;1;3;1;8
871;0;7;2;NA;NA;NA
872;NA;23;2;NA;NA;NA
873;0;20;1;NA;2;5
874;NA;35;1;NA;NA;NA
875;NA;30;1;NA;1;5
876;0;15;1;NA;NA;NA
877;4500;43;1;3;1;4
878;NA;61;1;NA;NA;NA
879;105000;48;1;3;1;9
880;0;8;1;NA;NA;NA
881;64100;27;1;3;1;8
882;0;70;2;1;4;8
883;0;9;1;NA;NA;NA
884;41000;42;2;2;1;10
885;0;14;1;NA;NA;NA
